Index,Wrong_ISBN,Correct_ISBN
25052,01402.42058,0140242058
25277,06440031X,006440031X
25285,074343434,074343434X
25331,373029101,0373029101
25438,01402.9628X,014029628X
25439,044020898,044020898X
25596,863683232,1863683232
25645,030724706,0307247066
25654,863734546,1863734546
25738,157748326,157748326X
25775,84.20646199,8420646199
25940,972802844,972802844X
25995,01402.3313,014023313X
25996,068486332,0684863324
26040,39483612X,039483612X
26041,39484372X,039484372X
26042,394843754,0394843754
26157,067102601,0671026011
26184,01400.72187,0140072187
26220,01460.00129,0146000129
26402,006100905,0061009059
26458,034538184,034538184X
26459,038071843,038071843X
26460,042516098,042516098X
26461,044021226,044021226X
26462,055357258,055357258X
26471,042510687,042510687X
26528,039914465,039914465X
26568,051513287,051513287X
26572,351839942,351839942X
26593,060903511,0060903511
26600,374273545,0374273545
26601,374505241,0374505241
26724,01401.52741,0140152741
26725,01402.96409,0140296409
26726,01420.03700,0142003700
26759,01400.86838,0140086838
26761,080213093,0802130933
26767,01402.39375,0140239375
26961,01406.21539,0140621539
27016,068980993,068980993X
27119,01402.61893,0140261893
27598,060256672,0060256672
28003,055356949,055356949X
28063,034541335,0345413350
28064,055326893,0553268937
28065,067104058,0671040588
28129,01420.01821,0142001821
28143,394703219,0394703219
28144,399501487,0399501487
28169,08760576,0876057644
28212,345257502,0345257502
28220,880781385,8807813858
28252,067153288,067153288X
28317,394428250,0394428250
28347,671212168,0671212168
28349,01401.22060,0140122060
28364,517259222,0517259222
28436,15713994,3815713994
28472,378553305,3785533055
28476,401025260,3401025260
28651,*0452281903,0452281903
28771,039475828,0394758285
28802,01420.00663,0142000663
28835,01400.72187,0140072187
28858,01402.5448X,014025448X
28883,01420.03700,0142003700
28942,037382503,037382503X
28956,373286589,0373286589
28957,373290306,0373290306
28958,380762587,0380762587
28959,380762595,0380762595
28960,380795590,0380795590
28961,380896931,0380896931
28962,44021422,044021422X
28963,440217547,0440217547
28964,446605891,0446605891
28966,451407547,0451407547
28967,590568876,0590568876
28968,590568914,0590568914
28976,786002832,0786002832
28977,804106436,0804106436
28978,821725041,0821725041
28979,821731408,0821731408
28981,842316582,0842316582
28982,842357424,0842357424
28984,843937440,0843937440
28985,843939958,0843939958
28986,843941782,0843941782
29049,499230933,3499230933
29115,01401.31612,0140131612
29339,038572179,038572179X
29400,06440031X,006440031X
29411,670722936,0670722936
29425,01402.32230,0140232230
29427,067188018,0671880187
29558,037325897,0373258976
29559,037361386,0373613865
29566,044020898,044020898X
29696,055328942,055328942X
29725,076790351,076790351X
29813,2221????????,2221081722
29892,037316950,0373169507
29893,037329163,0373291639
29902,155166892,1551668920
29903,155166931,1551669315
29904,155166944,1551669447
29941,394500792,0394500792
30232,014018640,0140186409
30253,84.8130.013.6,8481300136
30259,01402.45162,0140245162
30746,844507396,8445073966
30764,034536994=7,0345369947
30766,0671=001132,0671001132
30903,075151103,075151103X
31089,42518269,042518269X
31090,553575244,0553575244
31114,067972866,067972866X
31355,067972821,067972821X
31701,01401.85232,0140185232
31722,067169507,067169507X
31724,078686485,0786864850
31733,931561648,1931561648
31772,349913707,3499137070
31773,378914207,3789142077
31910,01400.6110X,014006110X
31959,34524575,034524575X
31963,014038572,014038572X
31973,349222152,3492221521
32100,840130315,840130315X
32115,840000001,8400000013
32123,055358636,055358636X
32191,380976587,0380976587
32205,01402.91768,0140291768
32272,014034178,0140341781
32287,087773880,0877738807
32298,038550420=9,0385504209
32313,84.40655371,8440655371
32746,034541389,034541389X
32891,037371078,037371078X
33046,157748326,157748326X
33047,158660042,1586600427
33410,394404270,0394404270
33447,344243551,344243551X
33486,014062029,014062029X
33571,014048.1354,0140481354
33779,006109786,0061097861
33797,01402.5448,014025448X
33849,342660865,3426608650
33853,0140302???,0140302395
34008,067944815,0679448152
34180,031200994,0312009941
34186,399505261,0399505261
34197,044172351,0441723519
34431,038072019,0380720191
34439,006093221,006093221X
34494,786863714,0786863714
34525,006108445,006108445X
34526,042517736,042517736X
34536,961983868,0961983868
34550,2.02.023930.2,2020239302
34558,349223049,3492230490
34615,01402.8009X,014028009X
34786,553275380,0553275380
34824,01420.03727,0142003727
34929,055356509,0553565095
35048,037324452,0373244525
35057,055356160,055356160X
35140,055327953,055327953X
35247,055325149,055325149X
35248,055327597,0553275976
35249,425101452,0425101452
35261,038079487,038079487X
35266,044100186,0441001866
35297,031242051,031242051X
35337,038549081,038549081X
35392,037303290,0373032900
35459,881787017,881787017X
35526,373705492,0373705492
35555,055337788,0553377884
35669,01402.80243,0140280243
35723,344244554,344244554X
35791,01401.77396,0140177396
35889,0=385311923,0385311923
35943,006251554,0062515543
35951,037541309,037541309X
35955,0060930535.,0060930535
36354,059040024,059040024X
36407,´3499128624,3499128624
36633,034538435,0345384350
36687,038000917,038000917X
36688,038072751,038072751X
36748,043905871,0439058716
37000,345314130,345314130X
37040,051509017,0515090174
37041,067172262,067172262X
37046,01411.81230,0141181230
37161,000628080,0006280803
37386,373244487,0373244487
37659,015131075,0151310750
37665,186049532,186049532X
37775,01402.60404,0140260404
37790,0440(12296),0440122961
37791,0440(14719)0,0440147190
37792,0440(17892)4,0440178924
37841,03945340,0394534077
37912,01402.68863,0140268863
37915,385335040,0385335040
37939,840000001,8400000013
38266,055314068,055314068X
38267,070368939,2070368939
38382,842364013,0842364013
38388,080411868,080411868X
38441,055326611,055326611X
38673,0*449002632,0449002632
38804,684717603,0684717603
38957,038000293,0380002930
38961,671209612,0671209612
38970,037326447,037326447X
39021,01400.17046,0140017046
39022,01400.43888,0140043888
39027,01400.74481,0140074481
39028,01400.75577,0140075577
39029,01400.77820,0140077820
39175,01401.88592,0140188592
39272,055321247,0553212478
39310,006109918,006109918X
39351,345314130,345314130X
39389,01400.6089,0140060898
39545,056353821,056353821X
39728,038548518,0385485182
39775,399505261,0399505261
39781,679404252,0679404252
39792,037321896,0373218966
39815,006081250,0060812508
39832,068817785,0688177859
39884,014048.1346,0140481346
39892,080410749,0804107491
39902,059304939,059304939X
39942,068971068,0689710682
39944,038526570,0385265700
40054,01402.5448X,014025448X
40079,394723929,0394723929
40116,068484477,068484477X
40154,067163691,067163691X
40403,340040025,0340040025
40524,847953338,8479533382
40572,037575698,0375756981
40705,01400.65377,0140065377
40720,044695618,044695618X
40796,045120307,0451203070
40811,159298041,1592980414
40818,014039012,014039012X
40820,684719274,0684719274
40852,01400.75623,0140075623
40878,044640068,0446400688
40898,01402.86276,0140286276
41162,078688939,078688939X
41297,039914441,0399144412
41330,067089977,0670899771
41331,449911004,0449911004
41591,006103066,006103066X
41632,006250023,0062500236
41641,01402.9628X,014029628X
41670,385485212,0385485212
41671,446600415,0446600415
41737,359615541,359615541x
41771,01400.92323,0140092323
41772,038550344,038550344X
41782,340778063,340778063X
41866,038073162,0380731622
41922,01400.11749,0140011749
41925,01400.59024,0140059024
41937,01403.09128,0140309128
42204,031284881,0312848811
42206,031287379,0312873794
42214,037371051,0373710518
42218,038097901,0380979012
42244,045120561,0451205618
42262,06621341X,006621341X
42279,078601322,0786013222
42282,089296739,0892967390
42309,843391454,8433914545
42393,+0451197399,0451197399
42400,013400888,013400888X
42508,051511992,051511992X
42626,055214357,055214357X
42699,01400.31499,0140031499
42823,051513108,0515131083
42880,034539045,0345390458
42936,038529929,038529929X
42965,014048.1346,0140481346
42984,)553267833,0553267833
42998,052594740,052594740X
43047,01400.1485,0140014853
43066,14002476X,014002476X
43123,696003422,0696003422
43134,006109868,006109868X
43182,067977548,067977548X
43185,853260851,1853260851
43272,055327507,0553275070
43401,01402.91881,0140291881
43476,014048.1346,0140481346
43483,006440696,0064406962
43511,18849079,1884907989
43570,553571060,0553571060
43605,059040408,0590404083
43618,038550841,0385508417
43707,045116396,0451163966
43748,345321224,345321224X
43772,051512608,051512608X
43827,081672265,081672265X
43956,055326111,0553261118
43962,067081302,0670813028
43975,076111940,076111940X
43977,089565692,0895656922
43984,842378898,0842378898
43989,059035342,059035342X
44014,01402.36600,0140236600
44166,006093053,0060930535
44203,039914631,0399146318
44280,425031748,0425031748
44291,01402.8009,014028009X
44542,0425+124819,0425124819
44544,345410424,0345410424
44563,01401.33968,0140133968
44588,067942175,0679421750
44590,038079960,038079960X
44733,055357924,055357924X
44763,006104180,0061041807
44848,068986020,068986020X
44852,044011120,044011120X
44856,014001851.4,0140018514
44859,014002649.5,0140026495
44937,034543469,0345434692
44948,880781076,880781076X
44962,044049043,044049043X
44970,01400.77022,0140077022
45031,884520169,8845201694
45066,840130315,840130315X
45298,207036423,2070364232
45635,425031748,0425031748
45636,01400.67477,0140067477
45675,01400.5183X,014005183X
45703,037550490,0375504907
46747,01401.79836,0140179836
46922,880780705,880780705X
46964,0399*134700,0399134700
47089,671785281,0671785281
47107,051512947,051512947X
47111,044021256,0440212561
47305,014032874,0140328742
47306,044023577,0440235774
47774,394712587,0394712587
47837,2.02.008806.1,2020088061
47845,074324523,0743245237
47847,014032759,0140327592
47981,373440146,0373440146
48067,037370801,0373708017
48142,345246004,0345246004
48143,345251415,0345251415
48147,399501487,0399501487
48207,014043.0725,0140430725
48242,743223136,0743223136
48453,762727144,0762727144
48578,088396631,088396631X
48643,345361199,0345361199
48695,045120307,0451203070
48714,037427032,0374270325
48726,345305136,345305136X
48733,359615541,359615541x
48748,034911392,0349113920
48756,014036122,0140361227
48757,055327937,0553279378
48759,038550120,038550120X
48921,06440007,0064400077
48971,01400.42644,0140042644
49015,074344271,0743442717
49021,048626551,048626551X
49126,043904399,0439043999
49619,060264268,0060264268
49620,060264896,0060264896
49834,425039587,0425039587
49881,078686650.0,0786866500
49883,087113679,0871136791
49913,074323443,074323443X
49962,451518829,0451518829
49988,01401.77396,0140177396
49992,01401.31671,0140131671
49997,080411868,080411868X
50095,0316284955`,0316284955
50097,034531564,0345315642
50100,044031488,0440314887
50229,39470388X,039470388X
50230,671785281,0671785281
50240,055299834,0552998346
50273,034541389,034541389X
50274,044022147,0440221471
50466,857978137,1857978137
50483,184018163,184018163X
50488,349223581.6,3492235816
50549,089804153=8,0898041538
50552,042518286,042518286X
50572,045116563,0451165632
50680,857978137,1857978137
50697,080411868,080411868X
50704,030725356,0030725356
50707,055327507,0553275070
50829,399501487,0399501487
50834,034531386,0345313860
50921,840000001,8400000013
51035,840800251,8408002511
51239,399501487,0399501487
51240,031696944,0316969443
51241,044652675,0446526754
51259,009927454,009927454X
51299,038548518,0385485182
51341,055326110,055326110X
51502,01402.44824,0140244824
51622,2.02.052606.9,2020526069
51640,044022103,044022103X
51679,045118196,0451181964
51875,044020562,044020562X
51898,01410.01976,0141001976
51955,515127485,0515127485
51983,067172035,067172035X
52215,349910170,349910170X
52252,01403.8572X,014038572X
52306,399503854,0399503854
52388,01460.00366,0146000366
52439,006109731,0061097314
52475,207071392,207071392X
52491,023108028,023108028X
52641,006103083,006103083X
52642,045120597,0451205979
52732,014048.1346,0140481346
52762,325723158,325723158X
52969,01401.44080,0140144080
52970,014006225,0140062254
53063,038549422,038549422X
53086,067168972,067168972X
53223,880014105,0880014105
53269,042518271,0425182711
53318,04251840,042518403X
53344,042516340,0425163407
53386,055356160,055356160X
53387,684719274,0684719274
53413,155874262,155874262X
53414,394717724,0394717724
53449,01400.77022,0140077022
53511,055325097,0553250973
53543,064400018,0064400018
53544,064400034,0064400034
53545,064400050,0064400050
53546,064400077,0064400077
53547,064400085,0064400085
53575,006093535,0060935359
53589,078686871,0786868716
53592,038001503,038001503X
53612,038531695,038531695X
53629,038079487,038079487X
53630,045120691,0451206916
53631,067976402,067976402X
53660,342660700,342660700X
53667,345305136,345305136X
53785,586040676,0586040676
53851,074322311,074322311X
53961,068812701,0688127010
53977,425033104,0425033104
53979,006092833,0060928336
53987,06440031X,006440031X
54085,044011181,0440111811
54099,373219482,0373219482
54102,034543241,034543241X
54127,034544326,0345443268
54263,01404.32639,0140432639
54286,042518336,042518336X
54288,038572120,038572120X
54370,060803592,0060803592
54410,006097208,0060972084
54423,01402.5448X,014025448X
54652,843397023,8433970232
55409,00610524,0061052493
55411,044047900,0440479002
55418,207036034,2070360342
55485,014025358,0140253580
55492,034537077,0345370775
55498,058604602,058604602X
55508,354823285,354823285X
55864,034061756,034061756X
55893,055299619,055299619x
55942,184018163,184018163X
56057,385475772,0385475772
56058,573220280,1573220280
56062,038533618,0385336187
56063,039914394,0399143947
56226,09711818,0971181802
56387,380976587,0380976587
56744,037327201,0373272014
56794,059010991,059010991X
56803,014010920,014010920X
57068,006073941,006073941X
57070,2.02.006186.4,2020061864
57077,006109202,0061092029
57285,2.02.023811.X,202023811X
57286,2.02.023930.2,2020239302
57287,2.02.055077.6,2020550776
57619,034538435,0345384350
57643,394717406,0394717406
57683,042516098,042516098X
57690,01400.77022,0140077022
57749,067102100,0671021001
57812,034543329,0345433297
57823,321630287,3216302873
57942,006092833,0060928336
57946,039304016,039304016X
58111,449911004,0449911004
58112,042518271,0425182711
58145,055299834,0552998346
58181,014010981,0140109811
58351,225305754,2253057541
58352,225313922,225313922X
58367,070368939,2070368939
58583,033048761,0330487612
58760,099771519,0099771519
58776,425040348,0425040348
58800,061815082,061815082X
58803,044020729,0440207290
58834,067181740,067181740X
58890,034544305=5,0345443055
58943,034541861,0345418611
58945,03454503,0345450302
59094,01402.3828X,014023828X
59113,023107488,0231074883
59115,425031748,0425031748
59199,843397023,8433970232
59228,038071152,0380711524
59462,044635098=2,0446350982
59533,006098710,0060987103
59539,01400257,0140025707
59556,349223049,3492230490
59754,394580486,0394580486
59811,@1580083412,1580083412
59949,006019965,0060199652
59986,042515007,0425150070
60029,044635098=2,0446350982
60036,0451=210557,0451210557
60100,038001782,0380017822
60118,344272047,3442720478
60410,0316284955`,0316284955
60416,089296+4502,0892964502
60767,006016848,006016848X
60768,006055710,0060557109
60774,034531428,034531428X
60775,034538430,034538430X
60776,037302522,037302522X
60777,037303230,0373032307
60778,037303290,0373032900
60780,037328960,037328960X
60781,037348441,0373484410
60786,037540676,037540676X
60787,038072754,0380727544
60788,042517480,0425174808
60789,042517616,0425176169
60791,044632004,0446320048
60794,051509039,0515090395
60795,051511992,051511992X
60796,051512087,0515120871
60799,060960855,060960855X
60800,067100316,067100316X
60808,067179065,067179065X
60809,068812701,0688127010
60811,069620956,069620956X
60814,073943053,073943053X
60815,074343434,074343434X
60820,080661711,080661711X
60821,082172979,0821729799
60822,088396631,088396631X
60824,155166738,155166738X
60830,157042922,1570429227
60832,188517108,1885171080
60834,373484836,0373484836
60837,80411918,080411918X
60892,067179227,067179227X
61373,044652550,0446525502
61383,067153053,0671530534
61400,345374797,0345374797
61401,440111323,0440111323
61403,449147452,0449147452
61404,451124685,0451124685
61405,553287346,0553287346
61473,042509933,0425099334
61498,0.15.602732.1,0156027321
61499,042515409,0425154092
61500,055310666,055310666X
61513,044100693,0441006930
61742,082174947,0821749471
61817,014043103,0140431039
61818,014062099,0140620990
61820,043935806,043935806X
61838,884590184,884590184X
61847,888451049,888451049X
61980,055337969=0,0553379690
62069,044133850,044133850X
62198,01400.45295,0140045295
62365,01400.31456,0140031456
62387,044166251,044166251X
62424,01420.03727,0142003727
62495,037540676,037540676X
62741,060256656,0060256656
62787,067175950,0671759507
62820,034531428,034531428X
62875,44022643,0440226430
62888,038078615,038078615X
62927,2.02.058536.7,2020585367
62953,01402.54277,0140254277
62954,01402.7684X,014027684X
63032,006093441,0060934417
63252,058351149,058351149X
63401,394700163,0394700163
63653,449911004,0449911004
63706,059045899,059045899X
63708,425040348,0425040348
63915,038072362,038072362X
63941,0:34539044X,034539044X
64059,037376359,037376359X
64075,067974258,0679742581
64169,01401.18330,0140118330
64170,01402.54544,0140254544
64171,01402.57934,0140257934
64198,840130315,840130315X
64291,044667221,0446672211
64298,399116699,0399116699
64758,060239417,0060239417
64899,345272552,0345272552
64903,373705220,0373705220
64972,345438221,0345438221
64973,037572578,0375725784
65252,055327757,055327757X
65257,207041680,2070416801
65341,0+399139745,0399139745
65372,01400.82212,0140082212
65379,394716795,0394716795
65397,2.253.14406.1,2253144061
65444,038001782,0380017822
65808,01400.53204,0140053204
65809,01401.47748,0140147748
65810,01402.1962,0140219625
65821,067179276/,0671792768
65846,038081478,0380814781
65857,01402.66771,0140266771
65998,01400.42393,0140042393
66046,051511640,0515116408
66137,2.253034487,2253034487
66233,031660205.1,0316602051
66459,038079554,038079554X
66646,*0452281903,0452281903
66698,586040102,0586040102
66736,840000001,8400000013
66765,05002545,0805002545
66766,671758896,0671758896
66775,39538169X,039538169X
66881,0/385/42473/6,0385424736
66921,055329742,0553297422
66932,373219121,0373219121
66958,157042922,1570429227
66962,812511026,0812511026
67058,399139605,0399139605
67102,048230871,0048230871
67426,034543502,0345435028
67438,01401.56291,0140156291
67550,014032462,0140324623
67588,006093441=7,0060934417
67589,156007754,0156007754
67590,375726403,0375726403
67600,044022330,044022330X
68501,042513525,042513525X
68524,0684826801.,0684826801
68568,01420.01740,0142001740
68586,045140370,0451403703
68916,045120307,0451203070
68946,014131088,014131088X
68989,04492142,0449214281
68999,072320594,0723205949
69154,225313922,225313922X
69158,051718967,0517189674
69161,039303857,0393038572
69166,374237131,0374237131
69344,344254159,344254159X
69764,009928958,009928958X
69785,082172956,082172956X
69936,014044100,014044100X
70099,157042922,1570429227
70204,881786983,881786983X
70314,034542252,034542252X
70325,2.02.057367.9,2020573679
70332,058252798,0582527988
70421,088396631,088396631X
70448,01420.01740,0142001740
70451,084236661,084236661X
70507,625/3/51,0962535109
70516,084233556,0842335560
70541,399135812,0399135812
70680,014028009,014028009X
70691,345305136,345305136X
70723,055356160,055356160X
70831,042518452,0425184528
71006,140440151,0140440151
71032,006019491,006019491X
71034,068487217,068487217X
71055,01402.98479,0140298479
71154,01403.4294X,014034294X
71162,0451=523962,0451523962
71163,045118563,0451185633
71170,157392004,1573920045
71171,891760326,0891760326
71258,037324448,0373244487
71410,081259023,0812590236
71481,374520658,0374520658
71493,01402.33016,0140233016
71612,039914015,0399140158
71619,006104444,006104444X
71641,679721886,0679721886
71724,055310222,0553102222
72403,06440031X,006440031X
72451,034545737,0345457374
72493,068484477,068484477X
72502,590016555,0590016555
72515,51513628X,051513628X
72564,044047900,0440479002
72876,060512822,0060512822
72877,061093335,0061093335
72878,312965060,0312965060
72879,345384466,0345384466
72880,373834284,0373834284
72881,375703063,0375703063
72882,380615983,0380615983
72883,380799383,0380799383
72884,440214009,0440214009
72885,440221595,0440221595
72886,446364150,0446364150
72887,446611778,0446611778
72889,515=133973,0515133973
72890,515116068,0515116068
72891,515124214,0515124214
72892,515134368,0515134368
72893,515135062,0515135062
72894,51513628X,051513628X
72895,551662604,1551662604
72896,553584049,0553584049
72897,67101417X,067101417X
72898,671016652,0671016652
72899,671027581,0671027581
72900,671035347,0671035347
72901,671736043,0671736043
72902,671737627,0671737627
72903,671873202,0671873202
72904,743411269,0743411269
72905,743418131,0743418131
72906,743437802,0743437802
73125,344243372,344243372X
73126,344244991,344244991X
73150,082172350,0821723502
73384,01400.50256,0140050256
73410,067973477,0679734775
73423,014600017,014600017X
73503,055334346,0553343467
73827,067176920,0671769200
73837,006103083,006103083X
74536,002044250,0020442505
74540,044100693,0441006930
74700,04251840,042518403X
74772,349912548,349912548X
74848,01401.07649,0140107649
